location,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1030,1030,0,0,209,209,209,209,209,209,209,209,209,282,282,283,537,283,283,282,282,283,537,283,283,283,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,20,20,1030,1030,3,3,206,206,206,206,206,206,207,207,206,921,921,924,931,1030,273,921,921,924,931,273,273,273,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,222,222,222,222,1030,1030,1030,1030,208,208,208,208,208,208,208,208,208,880,923,899,916,986,289,880,923,899,916,289,289,289,14,0,0,0,0,0,1030,0,0,0,0,1030,0,0,0,0,883,883,883,883
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,925,925,883,883,883,883,883,883,205,205,205,205,209,209,205,263,205,295,295,295,566,304,283,295,295,295,566,283,283,283,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,263,263,0,0,207,208,207,208,206,206,207,207,206,281,281,289,541,282,282,281,281,289,541,282,282,282,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
Lithuania,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,17,527,527,498,498,1013,1013,1030,1030,209,209,209,209,215,215,214,214,209,321,321,339,374,349,282,321,321,339,374,282,282,282,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1030,1030,401,401,891,891,891,891,219,219,219,219,225,225,219,219,218,332,332,359,442,342,319,332,332,359,442,319,319,319,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1030,1030,301,301,1030,1030,1030,1030,913,1030,913,1030,212,212,212,212,212,374,379,395,622,457,283,374,379,395,622,283,283,283,14,0,0,0,0,0,1030,0,0,0,0,1030,0,0,0,0,883,883,883,883
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,9,9,1030,1030,13,13,271,271,271,271,278,278,271,271,271,286,286,1030,296,298,276,286,286,1030,296,276,276,276,14,0,0,0,0,0,1030,0,0,0,0,1030,0,0,0,0,883,883,883,883
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,249,249,11,11,1030,1030,142,142,252,254,252,254,257,257,260,260,250,428,421,421,691,430,428,428,421,421,691,428,421,421,14,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,883,883,883,883
